Park,aug 2019,aug 2020,aug DIFF,YTD 2019,YTD 2020,YTD DIFF
Acadia NP,759735,681746,-77989,2338943,1590344,-748599
Arches NP,184890,164539,-20351,1189280,688395,-500885
Badlands NP,207743,220523,12780,790682,737416,-53266
Big Bend NP,17238,10861,-6377,303209,193333,-109876
Biscayne NP,46191,34416,-11775,502866,323540,-179326
Black Canyon of the Gunnison NP,80046,58097,-21949,330448,216048,-114400
Bryce Canyon NP,383458,210153,-173305,1861280,822747,-1038533
Canyonlands NP,69297,59334,-9963,508232,235465,-272767
Capitol Reef NP,127341,106071,-21270,849796,572221,-277575
Carlsbad Caverns NP,36354,17002,-19352,321112,119562,-201550
Channel Islands NP,49793,11694,-38099,286984,77273,-209711
Congaree NP,11028,9554,-1474,114471,56781,-57690
Crater Lake NP,163472,222368,58896,539167,505424,-33743
Cuyahoga Valley NP,285616,285616,0,1554492,1554492,0
Death Valley NP,165632,38859,-126773,1166638,482788,-683850
Denali NP & PRES,154044,14457,-139587,531271,43816,-487455
Dry Tortugas NP,6658,3971,-2687,58768,28353,-30415
Everglades NP,80177,44307,-35870,750201,539045,-211156
Gates of the Arctic NP & PRES,5399,1195,-4204,9517,2378,-7139
Gateway Arch NP,208999,31610,-177389,1627903,346086,-1281817
Glacier Bay NP & PRES,145002,1489,-143513,555503,4749,-550754
Glacier NP,771874,459121,-312753,2447377,1171847,-1275530
Grand Canyon NP,700896,295462,-405434,4171774,1663146,-2508628
Grand Teton NP,702022,710198,8176,2607297,2216221,-391076
Great Basin NP,24674,20133,-4541,92966,72348,-20618
Great Sand Dunes NP & PRES,81085,97370,16285,429219,314201,-115018
Great Smoky Mountains NP,1411231,1544254,133023,8294354,7087147,-1207207
Guadalupe Mountains NP,10532,7767,-2765,122964,66012,-56952
Haleakala NP,84618,1854,-82764,659408,196840,-462568
Hawaii Volcanoes NP,125357,31876,-93481,940879,400551,-540328
Hot Springs NP,181982,63997,-117985,998523,416161,-582362
Indiana Dunes NP,290469,389689,99220,1667593,1667832,239
Isle Royale NP,8798,2482,-6316,22561,5019,-17542
Joshua Tree NP,120911,133028,12117,1999552,1347116,-652436
Katmai NP & PRES,23772,23772,0,71280,71280,0
Kenai Fjords NP,78129,32689,-45440,319104,89940,-229164
Kobuk Valley NP,1770,620,-1150,9061,4480,-4581
Lake Clark NP & PRES,5580,5580,0,14812,14812,0
Lassen Volcanic NP,98109,120113,22004,328245,364669,36424
Mammoth Cave NP,72400,36460,-35940,420278,170879,-249399
Mesa Verde NP,87133,56923,-30210,420124,182373,-237751
Mount Rainier NP,378305,345496,-32809,1155691,781934,-373757
National Park of American Samoa,4650,0,-4650,39113,3760,-35353
North Cascades NP,12576,16181,3605,29072,24012,-5060
Olympic NP,737996,719170,-18826,2482392,1722972,-759420
Petrified Forest NP,62276,41460,-20816,469512,231567,-237945
Pinnacles NP,16795,8526,-8269,122074,100190,-21884
Redwood NP,55227,38488,-16739,362924,191900,-171024
Rocky Mountain NP,830039,580368,-249671,3307304,2213222,-1094082
Saguaro NP,51309,24301,-27008,727597,484626,-242971
Sequoia NP,190139,187702,-2437,878628,547309,-331319
Shenandoah NP,195579,220748,25169,855485,889536,34051
Theodore Roosevelt NP,135584,118836,-16748,515434,391206,-124228
Virgin Islands NP,18599,14901,-3698,72640,123032,50392
Voyageurs NP,50586,61797,11211,193689,217584,23895
White Sands NP,48510,45384,-3126,428091,90180,-337911
Wind Cave NP,92237,80890,-11347,514509,330848,-183661
Wrangell-St. Elias NP & PRES,20779,6077,-14702,66038,12710,-53328
Yellowstone NP,820006,881543,61537,3114697,2546373,-568324
Yosemite NP,703153,370967,-332186,3009472,1408646,-1600826
Zion NP,535322,450183,-85139,3159335,1963828,-1195507
