Park,jan 2019,jan 2020,jan DIFF,YTD 2019,YTD 2020,YTD DIFF
Acadia NP,8532,12640,4108,8532,12640,4108
Arches NP,21499,28462,6963,21499,28462,6963
Badlands NP,8981,10145,1164,8981,10145,1164
Big Bend NP,29318,43740,14422,29318,43740,14422
Biscayne NP,50873,79041,28168,50873,79041,28168
Black Canyon of the Gunnison NP,4921,8107,3186,4921,8107,3186
Bryce Canyon NP,36860,32744,-4116,36860,32744,-4116
Canyonlands NP,7146,9051,1905,7146,9051,1905
Capitol Reef NP,11893,14155,2262,11893,14155,2262
Carlsbad Caverns NP,3093,21319,18226,3093,21319,18226
Channel Islands NP,9193,17166,7973,9193,17166,7973
Congaree NP,7000,9672,2672,7000,9672,2672
Crater Lake NP,3120,3492,372,3120,3492,372
Cuyahoga Valley NP,88020,88020,0,88020,88020,0
Death Valley NP,111954,96297,-15657,111954,96297,-15657
Denali NP & PRES,96,1330,1234,96,1330,1234
Dry Tortugas NP,6179,5911,-268,6179,5911,-268
Everglades NP,85838,95635,9797,85838,95635,9797
Gateway Arch NP,18962,51753,32791,18962,51753,32791
Glacier Bay NP & PRES,173,173,0,173,173,0
Glacier NP,13581,13651,70,13581,13651,70
Grand Canyon NP,225056,246460,21404,225056,246460,21404
Grand Teton NP,56635,51648,-4987,56635,51648,-4987
Great Basin NP,689,2619,1930,689,2619,1930
Great Sand Dunes NP & PRES,4404,5232,828,4404,5232,828
Great Smoky Mountains NP,496743,438509,-58234,496743,438509,-58234
Guadalupe Mountains NP,1049,14151,13102,1049,14151,13102
Haleakala NP,53523,77427,23904,53523,77427,23904
Hawaii Volcanoes NP,128836,130909,2073,128836,130909,2073
Hot Springs NP,73964,38369,-35595,73964,38369,-35595
Indiana Dunes NP,69916,82444,12528,69916,82444,12528
Isle Royale NP,4,47,43,4,47,43
Joshua Tree NP,195993,268187,72194,195993,268187,72194
Katmai NP & PRES,100,100,0,100,100,0
Kenai Fjords NP,21,28,7,21,28,7
Kobuk Valley NP,1098,1204,106,1098,1204,106
Lassen Volcanic NP,8646,10770,2124,8646,10770,2124
Mammoth Cave NP,3651,13954,10303,3651,13954,10303
Mesa Verde NP,95,6872,6777,95,6872,6777
Mount Rainier NP,12933,12164,-769,12933,12164,-769
National Park of American Samoa,792,2869,2077,792,2869,2077
North Cascades NP,9,2,-7,9,2,-7
Olympic NP,72725,74888,2163,72725,74888,2163
Petrified Forest NP,15341,26608,11267,15341,26608,11267
Pinnacles NP,1154,23959,22805,1154,23959,22805
Redwood NP,17129,24128,6999,17129,24128,6999
Rocky Mountain NP,118152,126866,8714,118152,126866,8714
Saguaro NP,48968,124069,75101,48968,124069,75101
Sequoia NP,36024,46368,10344,36024,46368,10344
Shenandoah NP,20245,27236,6991,20245,27236,6991
Theodore Roosevelt NP,2515,2103,-412,2515,2103,-412
Virgin Islands NP,350,29635,29285,350,29635,29285
Voyageurs NP,4458,2585,-1873,4458,2585,-1873
White Sands NP,4693,50,-4643,4693,50,-4643
Wind Cave NP,11431,13641,2210,11431,13641,2210
Wrangell-St. Elias NP & PRES,25,25,0,25,25,0
Yellowstone NP,33896,25231,-8665,33896,25231,-8665
Yosemite NP,116746,132742,15996,116746,132742,15996
Zion NP,98828,126994,28166,98828,126994,28166
