Park,mar 2019,mar 2020,mar DIFF,YTD 2019,YTD 2020,YTD DIFF
Acadia NP,20161,28539,8378,37847,54638,16791
Arches NP,132191,81623,-50568,183929,152501,-31428
Badlands NP,16517,17183,666,33557,37307,3750
Big Bend NP,83826,61413,-22413,156273,155737,-536
Biscayne NP,76685,10962,-65723,187312,181658,-5654
Black Canyon of the Gunnison NP,12180,5849,-6331,23470,23068,-402
Bryce Canyon NP,75853,45132,-30721,142526,116766,-25760
Canyonlands NP,60792,14490,-46302,77643,35662,-41981
Capitol Reef NP,73416,45804,-27612,97677,80538,-17139
Carlsbad Caverns NP,56581,28925,-27656,79144,71104,-8040
Channel Islands NP,34951,9913,-25038,66407,46761,-19646
Congaree NP,17121,10790,-6331,35031,30682,-4349
Crater Lake NP,4800,5304,504,10356,12147,1791
Cuyahoga Valley NP,126521,126521,0,296602,296602,0
Death Valley NP,178553,112437,-66116,403432,334109,-69323
Denali NP & PRES,4613,1687,-2926,7312,5880,-1432
Dry Tortugas NP,7417,3674,-3743,20533,15557,-4976
Everglades NP,146859,99917,-46942,329650,361546,31896
Gates of the Arctic NP & PRES,74,0,-74,74,0,-74
Gateway Arch NP,164238,54112,-110126,234616,168823,-65793
Glacier Bay NP & PRES,195,173,-22,541,519,-22
Glacier NP,23989,24377,388,48810,56048,7238
Grand Canyon NP,451228,276002,-175226,889334,775359,-113975
Grand Teton NP,65864,51455,-14409,166412,158300,-8112
Great Basin NP,2391,2693,302,4140,7556,3416
Great Sand Dunes NP & PRES,19541,19561,20,29099,30613,1514
Great Smoky Mountains NP,786305,487535,-298770,1704818,1352883,-351935
Guadalupe Mountains NP,27831,19505,-8326,38342,48372,10030
Haleakala NP,93074,35688,-57386,230263,182562,-47701
Hawaii Volcanoes NP,113452,61695,-51757,363219,316608,-46611
Hot Springs NP,125290,64110,-61180,278576,151751,-126825
Indiana Dunes NP,219070,93273,-125797,374688,263530,-111158
Isle Royale NP,55,41,-14,96,137,41
Joshua Tree NP,469183,226600,-242583,926406,793081,-133325
Katmai NP & PRES,100,100,0,300,300,0
Kenai Fjords NP,40,72,32,98,158,60
Kobuk Valley NP,764,267,-497,2557,2204,-353
Lassen Volcanic NP,7944,0,-7944,23151,22425,-726
Mammoth Cave NP,45779,23449,-22330,59776,46992,-12784
Mesa Verde NP,14992,10193,-4799,18501,24487,5986
Mount Rainier NP,32101,29088,-3013,56777,48035,-8742
National Park of American Samoa,7152,327,-6825,11716,3760,-7956
North Cascades NP,26,19,-7,35,23,-12
Olympic NP,113720,116314,2594,260201,267450,7249
Petrified Forest NP,55187,45816,-9371,91870,101502,9632
Pinnacles NP,24681,18537,-6144,37570,64517,26947
Redwood NP,30938,9079,-21859,65835,54408,-11427
Rocky Mountain NP,146414,97690,-48724,364439,354970,-9469
Saguaro NP,186275,98901,-87374,384614,369194,-15420
Sequoia NP,63343,16625,-46718,128104,111814,-16290
Shenandoah NP,38601,132738,94137,69110,195447,126337
Theodore Roosevelt NP,5935,12204,6269,9637,18497,8860
Virgin Islands NP,5583,16256,10673,11686,80295,68609
Voyageurs NP,3214,2149,-1065,15274,10050,-5224
White Sands NP,83712,0,-83712,123936,96,-123840
Wind Cave NP,21375,13942,-7433,46933,39270,-7663
Wrangell-St. Elias NP & PRES,230,230,0,350,350,0
Yellowstone NP,28695,22426,-6269,94241,89369,-4872
Yosemite NP,173610,0,-173610,402021,300520,-101501
Zion NP,296316,207400,-88916,497413,468112,-29301
