Park,may 2019,may 2020,may DIFF,YTD 2019,YTD 2020,YTD DIFF
Acadia NP,226156,103120,-123036,332049,213471,-118578
Arches NP,217474,13832,-203642,570191,166333,-403858
Badlands NP,71885,55637,-16248,130525,110234,-20291
Big Bend NP,37411,0,-37411,242996,155737,-87259
Biscayne NP,79779,43692,-36087,331263,227708,-103555
Black Canyon of the Gunnison NP,75198,25976,-49222,123745,68847,-54898
Bryce Canyon NP,327975,69579,-258396,677562,189568,-487994
Canyonlands NP,114464,6304,-108160,281968,41966,-240002
Capitol Reef NP,196840,90903,-105937,441673,184455,-257218
Carlsbad Caverns NP,41516,1338,-40178,158203,73581,-84622
Channel Islands NP,39070,1618,-37452,144695,48492,-96203
Congaree NP,28786,140,-28646,79225,30822,-48403
Crater Lake NP,44808,814,-43994,71062,13647,-57415
Cuyahoga Valley NP,225949,225949,0,699869,699869,0
Death Valley NP,155378,19977,-135401,736506,372429,-364077
Denali NP & PRES,53995,100,-53895,64993,5985,-59008
Dry Tortugas NP,8124,308,-7816,36377,16065,-20312
Everglades NP,77435,21487,-55948,538363,387817,-150546
Gates of the Arctic NP & PRES,454,0,-454,619,0,-619
Gateway Arch NP,165964,31000,-134964,538889,229823,-309066
Glacier Bay NP & PRES,121332,286,-121046,125515,973,-124542
Glacier NP,167403,0,-167403,251704,56048,-195656
Grand Canyon NP,618598,45486,-573112,2070197,820845,-1249352
Grand Teton NP,278529,123756,-154773,504046,282056,-221990
Great Basin NP,11516,4587,-6929,21756,12959,-8797
Great Sand Dunes NP & PRES,68473,0,-68473,122755,35840,-86915
Great Smoky Mountains NP,1096056,828792,-267264,3800133,2281046,-1519087
Guadalupe Mountains NP,25204,0,-25204,84516,48372,-36144
Haleakala NP,85159,0,-85159,403185,182562,-220623
Hawaii Volcanoes NP,102792,0,-102792,569258,316608,-252650
Hot Springs NP,136514,45894,-90620,528487,237255,-291232
Indiana Dunes NP,142403,154428,12025,624953,509230,-115723
Isle Royale NP,1055,0,-1055,1212,137,-1075
Joshua Tree NP,250928,89831,-161097,1552123,882912,-669211
Katmai NP & PRES,100,100,0,500,500,0
Kenai Fjords NP,28944,4144,-24800,29063,4321,-24742
Kobuk Valley NP,778,272,-506,4143,2758,-1385
Lake Clark NP & PRES,367,367,0,367,367,0
Lassen Volcanic NP,25170,3108,-22062,60798,25533,-35265
Mammoth Cave NP,53461,8401,-45060,168447,63986,-104461
Mesa Verde NP,60665,3029,-57636,111594,27516,-84078
Mount Rainier NP,106136,4900,-101236,192545,53033,-139512
National Park of American Samoa,7772,0,-7772,26940,3760,-23180
North Cascades NP,1241,0,-1241,1320,23,-1297
Olympic NP,307426,-52,-307478,727610,307695,-419915
Petrified Forest NP,72802,900,-71902,221239,102402,-118837
Pinnacles NP,19398,4640,-14758,73202,70792,-2410
Redwood NP,62796,25258,-37538,161810,84878,-76932
Rocky Mountain NP,280351,63051,-217300,805049,418021,-387028
Saguaro NP,75838,22300,-53538,578254,414314,-163940
Sequoia NP,119816,0,-119816,340974,111814,-229160
Shenandoah NP,150297,46895,-103402,322079,247802,-74277
Theodore Roosevelt NP,75682,19618,-56064,95835,41393,-54442
Virgin Islands NP,10437,0,-10437,35803,90847,55044
Voyageurs NP,28198,29681,1483,43685,39731,-3954
White Sands NP,64344,0,-64344,251091,96,-250995
Wind Cave NP,48780,36878,-11902,150635,105362,-45273
Wrangell-St. Elias NP & PRES,4572,283,-4289,5442,1153,-4289
Yellowstone NP,434385,46219,-388166,576776,135588,-441188
Yosemite NP,393004,0,-393004,1092232,300520,-791712
Zion NP,529553,178194,-351359,1399315,686702,-712613
