Park,sep 2019,sep 2020,sep DIFF,YTD 2019,YTD 2020,YTD DIFF
Acadia NP,603273,500320,-102953,2942216,2090664,-851552
Arches NP,207857,203866,-3991,1397137,892261,-504876
Badlands NP,118262,87973,-30289,908944,825389,-83555
Big Bend NP,21246,26515,5269,324455,219848,-104607
Biscayne NP,46723,18276,-28447,549589,341816,-207773
Black Canyon of the Gunnison NP,48420,48257,-163,378868,264305,-114563
Bryce Canyon NP,392428,280398,-112030,2253708,1103145,-1150563
Canyonlands NP,97817,74444,-23373,606049,309909,-296140
Capitol Reef NP,170057,178879,8822,1019853,751100,-268753
Carlsbad Caverns NP,28455,16717,-11738,349567,136279,-213288
Channel Islands NP,38681,8487,-30194,325665,85760,-239905
Congaree NP,8312,11375,3063,122783,68156,-54627
Crater Lake NP,98266,59093,-39173,637433,564517,-72916
Cuyahoga Valley NP,226681,226681,0,1781173,1781173,0
Death Valley NP,168894,37991,-130903,1335532,520779,-814753
Denali NP & PRES,61504,10463,-51041,592775,54279,-538496
Dry Tortugas NP,4694,4238,-456,63462,32591,-30871
Everglades NP,60469,17723,-42746,810670,556768,-253902
Gates of the Arctic NP & PRES,966,477,-489,10483,2855,-7628
Gateway Arch NP,127764,16195,-111569,1755667,362281,-1393386
Glacier Bay NP & PRES,111922,476,-111446,667425,5225,-662200
Glacier NP,488909,343911,-144998,2936286,1515758,-1420528
Grand Canyon NP,578852,255946,-322906,4750626,1919092,-2831534
Grand Teton NP,517265,603789,86524,3124562,2820010,-304552
Great Basin NP,22735,25794,3059,115701,98142,-17559
Great Sand Dunes NP & PRES,52946,66495,13549,482165,380696,-101469
Great Smoky Mountains NP,1273326,1400171,126845,9567680,8487318,-1080362
Guadalupe Mountains NP,12157,14552,2395,135121,80564,-54557
Haleakala NP,98856,9608,-89248,758264,206448,-551816
Hawaii Volcanoes NP,92720,25270,-67450,1033599,425821,-607778
Hot Springs NP,143915,41356,-102559,1142438,457517,-684921
Indiana Dunes NP,206226,206226,0,1873819,1874058,239
Isle Royale NP,3342,1404,-1938,25903,6423,-19480
Joshua Tree NP,160294,145970,-14324,2159846,1493086,-666760
Katmai NP & PRES,12587,12587,0,83867,83867,0
Kenai Fjords NP,33346,21158,-12188,352450,111098,-241352
Kobuk Valley NP,1538,1538,0,10599,6018,-4581
Lake Clark NP & PRES,2345,2345,0,17157,17157,0
Lassen Volcanic NP,75502,67992,-7510,403747,432661,28914
Mammoth Cave NP,43525,30018,-13507,463803,200897,-262906
Mesa Verde NP,70865,44557,-26308,490989,226930,-264059
Mount Rainier NP,184166,192537,8371,1339857,974471,-365386
National Park of American Samoa,3933,100,-3833,43046,3860,-39186
North Cascades NP,8581,5023,-3558,37653,29035,-8618
Olympic NP,399907,399907,0,2882299,2122879,-759420
Petrified Forest NP,52525,36854,-15671,522037,268421,-253616
Pinnacles NP,14165,5850,-8315,136239,106040,-30199
Redwood NP,55568,21343,-34225,418492,213243,-205249
Rocky Mountain NP,752320,500019,-252301,4059624,2713241,-1346383
Saguaro NP,44812,23934,-20878,772409,508560,-263849
Sequoia NP,144639,88313,-56326,1023267,635622,-387645
Shenandoah NP,176271,197413,21142,1031756,1086949,55193
Theodore Roosevelt NP,110576,87640,-22936,626010,478846,-147164
Virgin Islands NP,7376,4072,-3304,80016,127104,47088
Voyageurs NP,25517,31408,5891,219206,248992,29786
White Sands NP,43009,48269,5260,471100,138449,-332651
Wind Cave NP,55196,67635,12439,569705,398483,-171222
Wrangell-St. Elias NP & PRES,7855,3320,-4535,73893,16030,-57863
Yellowstone NP,693118,837499,144381,3807815,3383872,-423943
Yosemite NP,584664,33671,-550993,3594136,1442317,-2151819
Zion NP,497443,520987,23544,3656778,2484815,-1171963
